"","Gene","Marker_ID","Gene_ID","b1","b1_p","bonf_p","eChr","ePos","Probe","mChr","mPos","strand","dist"
"184246","DCXR",163883,7582,-10.109,4.3e-17,3.8791977e-11,17,79993756,"cg27226927",17,79993863,-1,-107
"184247","DCXR",163972,7582,-8.294,6.27e-18,5.65641153e-12,17,79993756,"cg25503540",17,80051901,-1,-58145
"184248","DCXR",163990,7582,-14.278,2.69e-11,2.42675391e-05,17,79993756,"cg14136083",17,80066586,-1,-72830
"184350","DDA1",177825,8273,1.832,2.12e-08,0.0191253468,19,17420336,"cg09371559",19,17351300,1,-69036
"186169","DDR1",292835,13934,-6.319,1.34e-11,1.20886626e-05,6,30851860,"cg17604312",6,30850829,1,-1031
"186170","DDR1",292877,13934,-5.497,8.88e-10,0.000801099432,6,30851860,"cg15656686",6,30854551,1,2691
"186171","DDR1",292841,13934,-5.011,2.14e-12,1.93057746e-06,6,30851860,"cg08469255",6,30851069,1,-791
"186172","DDR1",292840,13934,-5.427,1.74e-12,1.56972186e-06,6,30851860,"cg23953820",6,30851051,1,-809
"186173","DDR1",292873,13934,-5.575,1.68e-08,0.0151559352,6,30851860,"cg07187855",6,30854161,1,2301
"186174","DDR1",292839,13934,-3.455,7.38e-12,6.65778582e-06,6,30851860,"cg02696067",6,30850977,1,-883
"186176","DDR1",292838,13934,-3.52,1.14e-10,0.000102843846,6,30851860,"cg19215110",6,30850913,1,-947
"186177","DDR1",293034,13934,8.937,2.1e-09,0.0018944919,6,30851860,"cg08487909",6,30904981,1,53121
"186178","DDR1",292837,13934,-3.686,6.24e-11,5.62934736e-05,6,30851860,"cg13329862",6,30850876,1,-984
"186180","DDR1",292875,13934,-3.983,5.47e-08,0.0493470033,6,30851860,"cg09965419",6,30854186,1,2326
"186181","DDR1",292958,13934,5.072,4.74e-08,0.0427613886,6,30851860,"cg08617970",6,30881112,1,29252
"186182","DDR1",292843,13934,-4.682,2.75e-10,0.000248088225,6,30851860,"cg02695062",6,30851417,1,-443
"186184","DDR1",292845,13934,-8.124,2.05e-11,1.84938495e-05,6,30851860,"cg02680487",6,30851529,1,-331
"186186","DDR1",292844,13934,-5.011,4.53e-13,4.08668967e-07,6,30851860,"cg07803420",6,30851517,1,-343
"186187","DDR1",292846,13934,-6.598,7.33e-14,6.61267887e-08,6,30851860,"cg16537676",6,30851624,1,-236
"186188","DDR1",292833,13934,-4.02,7.24e-11,6.53148636e-05,6,30851860,"cg08951271",6,30850543,1,-1317
"186189","DDR1",292842,13934,-3.787,4.4e-08,0.039694116,6,30851860,"cg14279856",6,30851086,1,-774
"186190","DDR1",292834,13934,-7.954,2.61e-11,2.35458279e-05,6,30851860,"cg13396738",6,30850718,1,-1142
"186191","DDR1",292866,13934,-5.219,2.33e-09,0.00210198387,6,30851860,"cg22485298",6,30853333,1,1473
"187518","DDX43",302890,14254,-5.398,4.33e-11,3.90626187e-05,6,74104284,"cg06797068",6,74104600,1,316
"187519","DDX43",302888,14254,-6.814,8.05e-14,7.26221895e-08,6,74104284,"cg03669949",6,74104426,1,142
"187520","DDX43",302891,14254,-5.554,3.74e-08,0.0337399986,6,74104284,"cg08124399",6,74104868,1,584
"187521","DDX43",302887,14254,-5.245,9.58e-09,0.00864249162,6,74104284,"cg17188169",6,74104388,1,104
"188067","DDX52",151298,6992,80.495,1.07e-08,0.0096528873,17,35969789,"cg13294856",17,36003552,-1,-33763
"188996","DEDD",25403,1293,2.807,1.17e-08,0.0105550263,1,161090768,"cg10888244",1,161049543,-1,41225
"189153","DEF6",299203,14059,3.978,4.89e-09,0.00441145971,6,35265594,"cg12655375",6,35286360,1,20766
"189488","DEFB126",215368,10238,-0.523,1.14e-08,0.0102843846,20,123193,"cg26482745",20,137860,1,14667
"189490","DEFB126",215369,10238,-0.916,4.24e-24,3.82506936e-18,20,123193,"cg24116886",20,137877,1,14684
"189494","DEFB126",215371,10238,-0.949,1.47e-14,1.32614433e-08,20,123193,"cg21882188",20,170364,1,47171
"189496","DEFB126",215372,10238,-0.87,7.78e-17,7.01864142e-11,20,123193,"cg02301189",20,170368,1,47175
"189509","DEFB129",215404,10239,31.692,6.28e-09,0.00566543292,20,207898,"cg05792285",20,278758,1,70860
"190599","DEXI",131475,6001,-1.837,5.49e-10,0.000495274311,16,11022747,"cg01105356",16,11016097,-1,6650
"191140","DGCR10",227086,10875,4.677,1.95e-10,0.000175917105,22,19010136,"cg13114497",22,18986775,1,-23361
"191325","DGCR2",227086,10876,2.025,3.13e-08,0.0282369507,22,19023794,"cg13114497",22,18986775,-1,37019
"191387","DGCR6L",227511,10899,-2.261,1.58e-08,0.0142537962,22,20301760,"cg12393104",22,20233758,-1,68002
"191388","DGCR6L",227539,10899,-1.661,9.78e-09,0.00882291942,22,20301760,"cg11814655",22,20399601,-1,-97841
"191494","DGCR9",227086,10874,6.908,5.6e-12,5.0519784e-06,22,19005346,"cg13114497",22,18986775,1,-18571
"192305","DHCR7",68478,3170,-4.044,5.79e-15,5.22338481e-09,11,71145456,"cg11344026",11,71144007,-1,1449
"192659","DHODH",138457,6425,-3.766,2.62e-09,0.00236360418,16,72042642,"cg08866129",16,72096608,1,53966
"192666","DHODH",138455,6425,-3.129,2.4e-08,0.021651336,16,72042642,"cg23815491",16,72088622,1,45980
"192669","DHODH",138456,6425,-3.872,1.31e-12,1.18180209e-06,16,72042642,"cg20672044",16,72096498,1,53856
"192671","DHODH",138453,6425,-5.982,3.38e-10,0.000304922982,16,72042642,"cg16579770",16,72058938,1,16296
"192909","DHRS1",105258,4869,5.631,1.36e-10,0.000122690904,14,24759803,"cg26705574",14,24836219,-1,-76416
"192947","DHRS1",105186,4869,-3.912,3.93e-09,0.00354540627,14,24759803,"cg07182753",14,24776700,-1,-16897
"192970","DHRS1",105262,4869,6.139,8.82e-09,0.00795686598,14,24759803,"cg07162820",14,24837146,-1,-77343
"193271","DHRS3",6126,149,-4.144,2.11e-09,0.00190351329,1,12627938,"cg25155068",1,12587709,-1,40229
"193281","DHRS3",6155,149,-3.32,4.75e-11,4.28516025e-05,1,12627938,"cg06033579",1,12662841,-1,-34903
"193543","DHTKD1",38025,1858,-3.879,4.77e-12,4.30320303e-06,10,12110915,"cg13898510",10,12087933,1,-22982
"196505","DKK4",340110,15634,-5.878,4.1e-13,3.6987699e-07,8,42231585,"cg05516128",8,42269324,-1,-37739
"197435","DLGAP5",107264,4983,-6.849,6.45e-13,5.81879655e-07,14,55614833,"cg09298313",14,55569959,-1,44874
"197436","DLGAP5",107269,4983,-6.298,2e-15,1.804278e-09,14,55614833,"cg02183170",14,55595698,-1,19135
"198614","DMRTB1",15269,620,-1.899,3.89e-12,3.50932071e-06,1,53925071,"cg22073262",1,53904065,1,-21006
"198674","DMRTC2",182599,8595,-4.35,1.37e-11,1.23593043e-05,19,42349085,"cg04669422",19,42348625,1,-460
"198695","DMRTC2",182606,8595,-2.345,4.76e-13,4.29418164e-07,19,42349085,"cg13324643",19,42349032,1,-53
"198696","DMRTC2",182627,8595,-1.533,3.49e-13,3.14846511e-07,19,42349085,"cg08062858",19,42386382,1,37297
"198707","DMRTC2",182626,8595,-1.927,2.39e-15,2.15611221e-09,19,42349085,"cg06448249",19,42385074,1,35989
"198711","DMRTC2",182607,8595,-1.612,1.78e-13,1.60580742e-07,19,42349085,"cg03117556",19,42349127,1,42
"198728","DMRTC2",182605,8595,-1.654,1.03e-09,0.00092920317,19,42349085,"cg17347810",19,42349010,1,-75
"199651","DNAJA4",123478,5682,-5.608,2.73e-08,0.0246283947,15,78556486,"cg21642988",15,78558406,1,1920
"199653","DNAJA4",123477,5682,-4.991,1.78e-10,0.000160580742,15,78556486,"cg25025992",15,78557584,1,1098
"200063","DNAJB3",212611,10174,-2.61,5.08e-08,0.0458286612,2,234651395,"cg23927405",2,234580842,-1,70553
"201062","DNAJC22",81739,3887,11.388,4.57e-08,0.0412277523,12,49740699,"cg11140086",12,49783072,1,42373
"201091","DNAJC25",353116,16388,-3.313,3.07e-08,0.0276956673,9,114393631,"cg13397260",9,114358399,1,-35232
"201678","DNAJC5",223279,10682,10.99,2.71e-08,0.0244479669,20,62526454,"cg10588425",20,62492820,1,-33634
"202174","DNAL1",109530,5088,-5.204,3.18e-08,0.0286880202,14,74111577,"cg09121269",14,74181427,1,69850
"203568","DNMT3A",192703,9192,-2.02,1.14e-08,0.0102843846,2,25455829,"cg26544247",2,25473781,-1,-17952
"204128","DOCK6",175581,8126,1.484,9.29e-09,0.00838087131,19,11309968,"cg27499925",19,11351027,-1,-41059
"204146","DOCK6",175576,8126,1.421,4.79e-09,0.00432124581,19,11309968,"cg00881370",19,11348439,-1,-38471
"204529","DOK2",337232,15507,-5.706,2.03e-08,0.0183134217,8,21766383,"cg21163717",8,21769903,-1,-3520
"207455","DQX1",198625,9472,-8.429,1.76e-12,1.58776464e-06,2,74745257,"cg02034222",2,74753281,-1,-8024
"207456","DQX1",198626,9472,-9.259,1.27e-11,1.14571653e-05,2,74745257,"cg24544105",2,74753312,-1,-8055
"207457","DQX1",198627,9472,-9.04,4.98e-15,4.49265222e-09,2,74745257,"cg06151718",2,74753334,-1,-8077
"207458","DQX1",198628,9472,-8.739,9.36e-13,8.44402104e-07,2,74745257,"cg01410453",2,74753358,-1,-8101
"207725","DRD1",283494,13617,-4.47,3.74e-08,0.0337399986,5,174867674,"cg06573254",5,174909270,-1,-41596
"208320","DSCR10",224856,10770,-3.676,6.64e-17,5.99020296e-11,21,39578249,"cg27312626",21,39627877,1,49628
"208332","DSCR10",224868,10770,-5.231,3.58e-17,3.22965762e-11,21,39578249,"cg26235187",21,39671265,1,93016
"209062","DTX3",84809,4080,4.426,4.41e-09,0.00397843299,12,57998404,"cg08136221",12,58007983,1,9579
"210761","DUSP6",86781,4191,-2.026,2.1e-08,0.018944919,12,89741601,"cg20722088",12,89742886,-1,-1285
"212124","DYNC2LI1",194976,9306,1.87,3.6e-08,0.032477004,2,44001177,"cg22207732",2,44065791,1,64614
"212134","DYNC2LI1",194968,9306,2.193,1.55e-08,0.0139831545,2,44001177,"cg13341470",2,44065332,1,64155
"212142","DYNC2LI1",194967,9306,2.11,2.6e-08,0.023455614,2,44001177,"cg11467440",2,44065278,1,64101
"212144","DYNC2LI1",194973,9306,2.598,5.07e-08,0.0457384473,2,44001177,"cg10317145",2,44065680,1,64503
"212642","DZIP1",100081,4702,-2.963,1.49e-08,0.0134418711,13,96230455,"cg04194341",13,96293572,-1,-63117
"212657","DZIP1L",246366,11948,-6.894,1.09e-09,0.00098333151,3,137780826,"cg14775286",3,137833494,-1,-52668
"212659","DZIP1L",246367,11948,-3.263,1.44e-08,0.0129908016,3,137780826,"cg09375033",3,137833634,-1,-52808
"212685","E2F1",218436,10423,-17.544,5.44e-11,4.90763616e-05,20,32263291,"cg20588982",20,32308170,-1,-44879
"213011","E2F8",59526,2726,-21.133,4.67e-09,0.00421298913,11,19245609,"cg07085895",11,19262124,-1,-16515
"213832","ECH1",181516,8511,-2.567,8.21e-09,0.00740656119,19,39306061,"cg27548256",19,39217070,-1,88991
"213957","ECHDC2",15130,612,-5.27,1.68e-08,0.0151559352,1,53361581,"cg02977954",1,53371368,-1,-9787
"213975","ECHDC2",15132,612,-2.499,3.46e-08,0.0312140094,1,53361581,"cg00653085",1,53385434,-1,-23853
"213983","ECHDC2",15131,612,-3.482,5.63e-13,5.07904257e-07,1,53361581,"cg12547516",1,53372233,-1,-10652
"214019","ECHS1",53930,2468,-3.978,2.27e-10,0.000204785553,10,135175986,"cg23919794",10,135172031,-1,3955
"214040","ECHS1",53931,2468,-5.046,3.99e-16,3.59953461e-10,10,135175986,"cg09105657",10,135172096,-1,3890
"214041","ECHS1",53840,2468,9.349,1.62e-10,0.000146146518,10,135175986,"ch.10.2988224F",10,135102171,-1,73815
"214059","ECHS1",53929,2468,-3.418,1.84e-13,1.65993576e-07,10,135175986,"cg14607011",10,135171746,-1,4240
"216278","EFNA1",23753,1161,-3.624,3.43e-09,0.00309433677,1,155100348,"cg07207669",1,155102388,1,2040
"219129","EHMT2",295098,13980,1.471,4.14e-09,0.00373485546,6,31847535,"cg00588517",6,31895464,-1,-47929
"219201","EHMT2",295136,13980,2.717,4.85e-11,4.37537415e-05,6,31847535,"cg11634875",6,31922863,-1,-75328
"219208","EHMT2",294586,13980,-7.102,6.88e-09,0.00620671632,6,31847535,"cg13014333",6,31762776,-1,84759
"219784","EHMT2",294578,13980,-5.456,2.23e-08,0.0201176997,6,31847535,"cg12670305",6,31762630,-1,84905
"219840","EHMT2",294849,13980,4.257,4.27e-10,0.000385213353,6,31847535,"cg19955284",6,31833747,-1,13788
"224144","ELF5",60890,2773,-9.401,2.38e-08,0.0214709082,11,34500341,"cg19656820",11,34535085,-1,-34744
"224145","ELF5",60891,2773,-10.523,4.01e-11,3.61757739e-05,11,34500341,"cg24253136",11,34535140,-1,-34799
"224146","ELF5",60892,2773,-10.234,1.99e-12,1.79525661e-06,11,34500341,"cg22932313",11,34535189,-1,-34848
"224147","ELF5",60893,2773,-8.859,6.16e-11,5.55717624e-05,11,34500341,"cg01473816",11,34535281,-1,-34940
"224148","ELF5",60895,2773,-11.223,3.81e-08,0.0343714959,11,34500341,"cg10987788",11,34535377,-1,-35036
"224149","ELF5",60898,2773,-8.074,1.42e-08,0.0128103738,11,34500341,"cg21017775",11,34535481,-1,-35140
"224150","ELF5",60899,2773,-8.13,2.16e-08,0.0194862024,11,34500341,"cg11343506",11,34535568,-1,-35227
"224359","ELL2",275300,13199,-3.303,1.67e-11,1.50657213e-05,5,95220801,"cg01859237",5,95145218,-1,75583
"224360","ELL2",275301,13199,-4.191,2.78e-15,2.50794642e-09,5,95220801,"cg02354658",5,95151391,-1,69410
"224361","ELL2",275316,13199,-3.694,1.56e-10,0.000140733684,5,95220801,"cg14746276",5,95171699,-1,49102
"224364","ELL2",275331,13199,-4.622,9.86e-11,8.89509054e-05,5,95220801,"cg16998950",5,95252658,-1,-31857
"224366","ELL2",275334,13199,-4.374,2.08e-08,0.0187644912,5,95220801,"cg16656078",5,95278638,-1,-57837
"225372","EME1",156114,7270,-11.805,1.12e-08,0.0101039568,17,48450580,"ch.17.45797972F",17,48442973,1,-7607
"226862","ENDOD1",70953,3306,-2.727,2.16e-08,0.0194862024,11,94822973,"cg11378101",11,94826095,1,3122
"227364","ENPEP",261962,12677,-4.326,1.34e-12,1.20886626e-06,4,111397228,"cg22888902",4,111398042,1,814
"227365","ENPEP",261963,12677,-4.695,3.72e-13,3.35595708e-07,4,111397228,"cg23169614",4,111398088,1,860
"227366","ENPEP",261964,12677,-3.907,2.66e-13,2.39968974e-07,4,111397228,"cg08310176",4,111398146,1,918
"227367","ENPP3",306843,14447,-8.03,5.5e-14,4.9617645e-08,6,131958441,"cg02862362",6,131895102,1,-63339
"227368","ENPP3",306860,14447,-9.323,1.31e-16,1.18180209e-10,6,131958441,"cg20988616",6,131958144,1,-297
"227369","ENPP3",306842,14447,-8.845,5.65e-13,5.09708535e-07,6,131958441,"cg01699630",6,131894023,1,-64418
"227406","ENPP5",301527,14183,-7.489,3.19e-09,0.00287782341,6,46126918,"cg15169077",6,46139019,-1,-12101
"228755","EPHB3",250262,12144,-5.861,4.19e-13,3.77996241e-07,3,184279586,"cg24944328",3,184283308,1,3722
"228918","EPHX1",32346,1680,-6.403,2.92e-09,0.00263424588,1,226013001,"cg03337430",1,226012507,1,-494
"228920","EPHX1",32345,1680,-5.212,5.46e-11,4.92567894e-05,1,226013001,"cg23992403",1,226012347,1,-654
"228921","EPHX1",32343,1680,-3.616,5.29e-08,0.0477231531,1,226013001,"cg03138928",1,226004826,1,-8175
"228922","EPHX1",32341,1680,-4.789,1.72e-12,1.55167908e-06,1,226013001,"cg25152404",1,225999183,1,-13818
"228923","EPHX1",32344,1680,-5.821,3.17e-12,2.85978063e-06,1,226013001,"cg26187962",1,226011953,1,-1048
"228925","EPHX1",32375,1680,-7.394,2.78e-12,2.50794642e-06,1,226013001,"cg19817882",1,226075069,1,62068
"228926","EPHX1",32350,1680,-5.092,7.96e-12,7.18102644e-06,1,226013001,"cg17468616",1,226013212,1,211
"229155","EPO",325875,15102,-4.821,3.34e-08,0.0301314426,7,100318422,"cg03880458",7,100306854,1,-11568
"229290","EPPK1",348801,15973,-6.55,4.26e-08,0.0384311214,8,144939491,"cg11469769",8,144950787,-1,-11296
"230108","ERBB3",84018,4026,-35.058,4.4e-08,0.039694116,12,56473808,"cg16200569",12,56436204,1,-37604
"232792","ETNK2",29589,1548,-13.433,1.27e-09,0.00114571653,1,204100188,"cg00819142",1,204074976,-1,25212
"232793","ETNK2",29599,1548,-6.756,6.29e-09,0.00567445431,1,204100188,"cg07906527",1,204116483,-1,-16295
"233214","EVC",254956,12296,7.78,1.72e-08,0.0155167908,4,5712923,"cg04755857",4,5748162,1,35239
"233525","EVPLL",148659,6826,-8.568,9.39e-12,8.47108521e-06,17,18281078,"cg13013841",17,18281021,1,-57
"234041","EXOC3",267358,12900,-56.282,3.51e-08,0.0316650789,5,443333,"cg11869150",5,465665,1,22332
"234382","EXOC7",160126,7494,1.386,4.92e-08,0.0443852388,17,74077073,"cg14666354",17,73996423,-1,80650
"235681","EZR",309722,14561,-1.592,7.91e-09,0.00713591949,6,159186772,"cg01146614",6,159235211,-1,-48439
"235731","F11R",25401,1285,2.57,2.51e-08,0.0226436889,1,160965000,"cg03089651",1,161039695,-1,-74695
"236039","FABP7",306299,14418,-3.706,9.7e-09,0.0087507483,6,123100645,"cg04365255",6,123074558,1,-26087
"236446","FAH",123803,5701,-3.805,1.69e-09,0.00152461491,15,80445232,"cg06856840",15,80446451,1,1219
"236715","FAIM3",30328,1588,26.242,7.31e-10,0.000659463609,1,207076630,"cg26014884",1,207083129,-1,-6499
"236718","FAIM3",30335,1588,-9.266,1.11e-09,0.00100137429,1,207076630,"cg17100176",1,207096358,-1,-19728
"236719","FAIM3",30327,1588,13.255,1.08e-08,0.0097431012,1,207076630,"cg00008647",1,207082900,-1,-6270
"236722","FAIM3",30326,1588,15.311,9.19e-09,0.00829065741,1,207076630,"cg06528575",1,207082828,-1,-6198
"238160","FAM131B",330487,15335,-5.362,4.67e-08,0.0421298913,7,143050492,"cg21984793",7,143066104,-1,-15612
"238196","FAM131B",330459,15335,-7.419,4.07e-09,0.00367170573,7,143050492,"cg17922226",7,143013614,-1,36878
"238212","FAM131B",330473,15335,-10.238,1.16e-08,0.0104648124,7,143050492,"cg03947651",7,143058144,-1,-7652
"239577","FAM167A",336412,15466,5.415,8.04e-10,0.000725319756,8,11278972,"cg02621357",8,11296980,-1,-18008
"239930","FAM171A2",153967,7173,4.08,5.34e-10,0.000481742226,17,42431100,"cg02998129",17,42344234,-1,86866
"241062","FAM181A",111739,5181,-2.17,4.71e-08,0.0424907469,14,94385239,"cg15817482",14,94423801,1,38562
"241074","FAM181A",111738,5181,-3.114,3.95e-09,0.00356344905,14,94385239,"cg19949550",14,94423704,1,38465
"241628","FAM189B",23984,1170,-4.148,3.41e-08,0.0307629399,1,155216995,"cg07732755",1,155295093,-1,-78098
"241636","FAM189B",23985,1170,-2.74,4e-10,0.0003608556,1,155216995,"cg07162320",1,155295267,-1,-78272
"242825","FAM20A",158698,7413,-4.292,6.24e-09,0.00562934736,17,66531256,"cg24064639",17,66592243,-1,-60987
"242826","FAM20A",158699,7413,-4.175,6.21e-10,0.000560228319,17,66531256,"cg05875176",17,66594586,-1,-63330
"243623","FAM46A",303296,14275,-2.789,2.01e-11,1.81329939e-05,6,82455446,"cg04346283",6,82459454,-1,-4008
"243624","FAM46A",303297,14275,-2.647,2.33e-08,0.0210198387,6,82455446,"cg09451215",6,82459960,-1,-4514
"243838","FAM50B",286320,13724,-8.525,8.79e-10,0.000792980181,6,3849631,"cg18656763",6,3849235,1,-396
"243839","FAM50B",286321,13724,-6.304,1.48e-10,0.000133516572,6,3849631,"cg01570885",6,3849272,1,-359
"243840","FAM50B",286322,13724,-7.415,7.29e-09,0.00657659331,6,3849631,"cg09821214",6,3849277,1,-354
"243841","FAM50B",286323,13724,-8.426,1.2e-12,1.0825668e-06,6,3849631,"cg07898446",6,3849294,1,-337
"243844","FAM50B",286326,13724,-11.919,2.38e-12,2.14709082e-06,6,3849631,"cg13289019",6,3849350,1,-281
"243845","FAM50B",286327,13724,-8.999,6.12e-09,0.00552109068,6,3849631,"cg12840312",6,3849381,1,-250
"243846","FAM50B",286328,13724,-7.375,3.11e-08,0.0280565229,6,3849631,"cg01905633",6,3849391,1,-240
"243847","FAM50B",286329,13724,-6.848,5.26e-08,0.0474525114,6,3849631,"cg21177626",6,3849411,1,-220
"243849","FAM50B",286331,13724,-7.27,4.9e-09,0.0044204811,6,3849631,"cg18197332",6,3849458,1,-173
"243851","FAM50B",286333,13724,-8.361,2.09e-08,0.0188547051,6,3849631,"cg23835083",6,3849536,1,-95
"243853","FAM50B",286335,13724,-7.223,3.01e-09,0.00271543839,6,3849631,"cg12497786",6,3849577,1,-54
"243858","FAM50B",286340,13724,-6.092,1.23e-08,0.0110963097,6,3849631,"cg13101072",6,3849818,1,187
"244436","FAM60A",80221,3807,-2.282,3.22e-13,2.90488758e-07,12,31433519,"cg14741228",12,31476479,-1,-42960
"244452","FAM60A",80222,3807,-2.488,3.25e-11,2.93195175e-05,12,31433519,"cg03935116",12,31476565,-1,-43046
"245294","FAM78A",354995,16570,-8.406,2.95e-13,2.66131005e-07,9,134133464,"cg14548264",9,134109022,-1,24442
"245316","FAM78A",355006,16570,-3.499,2.44e-09,0.00220121916,9,134133464,"cg17936488",9,134151519,-1,-18055
"245412","FAM83F",230706,11143,-4.977,1.19e-10,0.000107354541,22,40390952,"cg13714749",22,40391489,1,537
"245525","FAM83H",348639,15969,-4.925,1.63e-09,0.00147048657,8,144806102,"cg01854491",8,144815021,-1,-8919
"247067","FARSA",176514,8185,0.897,1.33e-09,0.00119984487,19,13033283,"cg04646674",19,13113482,-1,-80199
"247082","FARSA",176515,8185,1.254,1.1e-08,0.009923529,19,13033283,"cg09394128",19,13113548,-1,-80265
"247252","FARSA",176513,8185,1.262,2e-09,0.001804278,19,13033283,"cg19909063",19,13113455,-1,-80172
"247324","FASLG",26816,1390,-10.669,3.68e-08,0.0331987152,1,172628147,"cg06983746",1,172628065,1,-82
"248367","FBF1",160019,7487,-4.657,9.34e-10,0.000842597826,17,73906617,"cg15936999",17,73840853,-1,65764
"248392","FBF1",160017,7487,-3.674,3.12e-09,0.00281467368,17,73906617,"cg15177359",17,73840750,-1,65867
"248399","FBF1",160125,7487,3.45,6.22e-10,0.000561130458,17,73906617,"cg14040633",17,73996331,-1,-89714
"248528","FBLIM1",6622,181,4.197,2.74e-09,0.00247186086,1,16085254,"cg00601916",1,16069388,1,-15866
"248534","FBLIM1",6634,181,-3.773,3.09e-11,2.78760951e-05,1,16085254,"cg17276021",1,16084445,1,-809
"248693","FBP1",352282,16303,-8.547,1.08e-17,9.7431012e-12,9,97365420,"cg21178568",9,97390853,-1,-25433
"249567","FBXL19",134165,6186,2.546,3.5e-12,3.1574865e-06,16,30935895,"cg09373102",16,30856600,1,-79295
"249695","FBXL2",236147,11399,-33.143,3.35e-08,0.0302216565,3,33318933,"cg05048199",3,33319000,1,67
"251495","FBXO40",244029,11831,-2.256,1.39e-08,0.0125397321,3,121312169,"cg12456825",3,121312127,1,-42
"254664","FERMT1",216601,10319,-5.365,1.63e-12,1.47048657e-06,20,6055491,"cg07718903",20,6104261,-1,-48770
"254685","FERMT2",106980,4971,-3.772,1.31e-10,0.000118180209,14,53323988,"cg08085909",14,53390796,-1,-66808
"254707","FERMT3",64680,3002,-4.987,9.72e-10,0.000876879108,11,63974151,"cg20136100",11,63974860,1,709
"254771","FERMT3",64720,3002,3.849,3.2e-09,0.0028868448,11,63974151,"cg02293991",11,64005428,1,31277
"254884","FERMT3",64750,3002,2.627,3.28e-08,0.0295901592,11,63974151,"cg07773434",11,64015289,1,41138
"254961","FES",125329,5773,-2.706,4.88e-16,4.40243832e-10,15,91427687,"cg03209642",15,91427605,1,-82
"254968","FES",125328,5773,-2.705,2.52e-12,2.27339028e-06,15,91427687,"cg26405020",15,91427363,1,-324
"254969","FES",125336,5773,-2.772,2.56e-09,0.00230947584,15,91427687,"cg26899598",15,91429088,1,1401
"254977","FES",125330,5773,-2.176,1.16e-11,1.04648124e-05,15,91427687,"cg13947995",15,91427821,1,134
"254986","FES",125332,5773,-2.461,2.3e-14,2.0749197e-08,15,91427687,"cg04510874",15,91427884,1,197
"254987","FES",125327,5773,-2.482,5.08e-12,4.58286612e-06,15,91427687,"cg09397246",15,91427361,1,-326
"255007","FES",125331,5773,-2.108,1.98e-12,1.78623522e-06,15,91427687,"cg05211768",15,91427848,1,161
"255020","FES",125333,5773,-2.482,1.87e-14,1.68699993e-08,15,91427687,"cg18661868",15,91427965,1,278
"255030","FES",125334,5773,-6.765,2.16e-11,1.94862024e-05,15,91427687,"cg05180856",15,91428056,1,369
"255055","FES",125326,5773,-4.044,3.52e-10,0.000317552928,15,91427687,"cg25647583",15,91427184,1,-503
"256478","FGF4",67967,3163,-16.924,1.52e-12,1.37125128e-06,11,69587796,"cg13892042",11,69530627,-1,57169
"256635","FGFBP1",256395,12339,-9.723,5.3e-08,0.047813367,4,15937192,"cg13929970",4,15939862,-1,-2670
"256871","FGFR4",283902,13639,-5.801,3.99e-11,3.59953461e-05,5,176513872,"cg00618323",5,176515533,1,1661
"257129","FGGY",16037,653,-3.481,4.91e-08,0.0442950249,1,59762624,"cg17278960",1,59775908,1,13284
"258269","FITM1",104987,4853,-8.486,2.43e-12,2.19219777e-06,14,24600674,"cg06186808",14,24600901,1,227
"258270","FITM1",104988,4853,-7.732,1.62e-10,0.000146146518,14,24600674,"cg10327980",14,24601001,1,327
"260733","FKSG29",100489,4718,-0.561,5.51e-09,0.00497078589,13,100003673,"cg03934002",13,100096052,1,92379
"261365","FLJ23867",27490,1428,-4.108,1.7e-08,0.015336363,1,180167143,"cg23626387",1,180136887,1,-30256
"262903","FLT3LG",185573,8818,-5.352,2.39e-08,0.0215611221,19,49977465,"cg27420674",19,49974121,1,-3344
"263543","FMNL1",154403,7194,-4.387,6.3e-09,0.0056834757,17,43299291,"cg09264140",17,43302776,1,3485
"263573","FMNL1",154401,7194,-2.568,4.64e-08,0.0418592496,17,43299291,"cg04945541",17,43299826,1,535
"263586","FMNL1",154404,7194,-4.079,1.66e-11,1.49755074e-05,17,43299291,"cg12805374",17,43306622,1,7331
"263592","FMNL1",154405,7194,-2.688,5.4e-09,0.0048715506,17,43299291,"cg25072336",17,43306802,1,7511
"264617","FOXC1",285831,13709,-5.097,3.4e-08,0.030672726,6,1610680,"cg21010202",6,1615843,1,5163
"264763","FOXD4L1",202099,9660,6.143,1.02e-08,0.0092018178,2,114256660,"cg16839353",2,114256421,1,-239
"266101","FOXN4",88825,4302,-6.17,2.32e-10,0.000209296248,12,109715782,"cg19786751",12,109639296,-1,76486
"266102","FOXN4",88826,4302,-5.619,1.05e-10,9.4724595e-05,12,109715782,"cg06131338",12,109639461,-1,76321
"266103","FOXN4",88831,4302,-7.158,1.46e-09,0.00131712294,12,109715782,"cg13253199",12,109684116,-1,31666
"267564","FSCN2",163388,7556,-4.676,3.51e-11,3.16650789e-05,17,79495416,"cg05348708",17,79520615,1,25199
"267566","FSCN2",163389,7556,-4.094,1.46e-10,0.000131712294,17,79495416,"cg27107970",17,79520734,1,25318
"267568","FSCN2",163385,7556,-37.649,9.39e-10,0.000847108521,17,79495416,"cg24888187",17,79520248,1,24832
"267574","FSCN2",163387,7556,-11.159,1.19e-12,1.07354541e-06,17,79495416,"cg02538637",17,79520379,1,24963
